Date,Shape of You,Despacito,Someone Just Like You,Humble,Unforgettable
20171105,3567680,3358109.0,1813190.0,2279612.0,3258038.0
20171106,3695556,3133130.0,1949896.0,2471080.0,3465063.0
20171107,3803589,3069122.0,2025309.0,2571403.0,3563317.0
20171108,3857766,3188437.0,2091348.0,2587832.0,3630088.0
20171109,3896043,3360350.0,2114187.0,2589968.0,3636623.0
20171110,4160512,3555034.0,2199808.0,2694944.0,3841749.0
20171111,4169862,3762636.0,2086537.0,2530450.0,3682152.0
20171112,3658492,3234510.0,1839484.0,2231423.0,3201396.0
20171113,3701108,2995731.0,1961776.0,2372934.0,3383654.0
20171114,3829468,3106599.0,2024536.0,2487216.0,3522049.0
20171115,3940055,3228922.0,2072633.0,2521797.0,3615039.0
20171116,3914455,3184255.0,2072885.0,2525020.0,3601911.0
20171117,4133833,3644654.0,2138618.0,2617439.0,3769327.0
20171118,4110628,3922003.0,2051539.0,2460020.0,3650789.0
20171119,3666668,3343278.0,1807982.0,2054707.0,3195993.0
20171120,3741930,3046317.0,1950981.0,2158850.0,3294761.0
20171121,3796844,3089118.0,1993765.0,2212817.0,3415188.0
20171122,3887983,3123134.0,2026582.0,2235130.0,3510993.0
20171123,3831227,2979721.0,1957258.0,2071230.0,3348415.0
20171124,3934731,3056587.0,1969707.0,2003743.0,3334933.0
20171125,4037535,3277689.0,1917285.0,1963710.0,3302385.0
20171126,3607335,2809414.0,1747479.0,1822490.0,2960413.0
20171127,3651453,2590998.0,1855624.0,1945191.0,3091897.0
20171128,3754323,2641420.0,1926842.0,2005434.0,3166629.0
20171129,3869611,2717354.0,1963523.0,2046201.0,3243320.0
20171130,3887032,2661182.0,1990808.0,2054789.0,3228846.0
20171201,4088078,2774406.0,1783573.0,2088544.0,3328965.0
20171202,3973771,2967287.0,1679101.0,1926955.0,3064846.0
20171203,3497682,2459963.0,1492999.0,1715923.0,2681287.0
20171204,3608439,2300997.0,1653213.0,1833301.0,2832473.0
20171205,4025974,2862451.0,2065676.0,2094680.0,2969181.0
20171206,4486684,3356051.0,2287838.0,2374910.0,3082904.0
20171207,4956182,3962757.0,2524975.0,2935759.0,3258200.0
20171208,4923111,4094943.0,2574826.0,3035211.0,3379843.0
20171209,4730381,3959109.0,2336025.0,2863104.0,3184655.0
20171210,4088841,3140477.0,2009351.0,2487852.0,2695505.0
20171211,4182447,2966875.0,2154369.0,2657255.0,2834333.0
20171212,4303919,3233276.0,2235475.0,2764066.0,2963018.0
20171213,4358667,3314040.0,2267402.0,2780471.0,2978316.0
20171214,4369297,3325530.0,2248060.0,2780681.0,2994198.0
20171215,4514100,3361095.0,2225837.0,2756924.0,3067124.0
20171216,4463192,3489922.0,2113797.0,2567140.0,2723787.0
20171217,3917389,2961518.0,1873012.0,2279766.0,2341248.0
20171218,4071886,2781199.0,2028347.0,2479225.0,2491145.0
20171219,4274011,3003114.0,2132337.0,2634297.0,2607727.0
20171220,4436628,3154413.0,2169795.0,2687930.0,2664331.0
20171221,4510806,3240941.0,2175124.0,2732839.0,2729016.0
20171222,4516401,3336412.0,1955405.0,2737098.0,2746256.0
20171223,4392917,3332468.0,1827557.0,2317933.0,2372778.0
20171224,4115734,3084918.0,1482265.0,1979313.0,1998051.0
20171225,3575347,2945233.0,1380813.0,1638493.0,1754546.0
20171226,3874765,3008858.0,1952557.0,2035487.0,2044976.0
20171227,4393658,3463788.0,2241642.0,2445535.0,2423038.0
20171228,4531610,3498889.0,2379535.0,2603003.0,2668312.0
20171229,4661519,3661065.0,2510770.0,2604563.0,2825661.0
20171230,4707603,3912257.0,2505685.0,2566709.0,2808529.0
20171231,7073032,8203454.0,3514602.0,2787752.0,3792953.0
20180101,4865387,5557165.0,2179506.0,2368321.0,2537274.0
20180102,4541816,3980200.0,2368870.0,2505241.0,2683769.0
20180103,4596993,3890385.0,2363422.0,2587620.0,2753557.0
20180104,4447076,3512667.0,2345804.0,2575748.0,2710101.0
20180105,4492978,3450315.0,2408365.0,2685857.0,2869783.0
20180106,4416476,3394284.0,2188035.0,2559044.0,2743748.0
20180107,4009104,3020789.0,1908129.0,2350985.0,2441045.0
20180108,4135505,2755266.0,2023251.0,2523265.0,2622693.0
20180109,4168506,2791601.0,2058016.0,2727678.0,2627334.0
